Detroit, Michigan, United States
Ann Arbor, Michigan, United States
Los Angeles, California, United States
West Lafayette, Indiana, United States
Waterloo, Ontario, Canada
Troy, New York, United States
Tallahassee, Florida, United States
Chicago, Illinois, United States
Westmount, QC, CA
Ann Arbor, Michigan, United States
Montreal, Quebec, Canada
Waterloo, Ontario, Canada
Cupertino, California, United States
Ann Arbor, Michigan, United States
New Brunswick, New Jersey, United States
West Lafayette, Indiana, United States
Pittsburgh, Pennsylvania, United States
California, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Troy, New York, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
West Bloomfield Township, Michigan, United States
East Amherst, New York, United States
West Lafayette, Indiana, United States
Toronto, Ontario, Canada
Philadelphia, Pennsylvania, United States
Madison Heights, Michigan, United States
College Park, Maryland, United States
East Lansing, Michigan, United States
Cambridge, Massachusetts, United States
Chicago, Illinois, United States
Michigan, United States
Ottawa, Ontario, Canada
Montreal, Quebec, Canada
Ann Arbor, Michigan, United States
Berlin, Berlin, Germany
Urbana, Illinois, United States
Ann Arbor, Michigan, United States
Washington, District of Columbia, United States
Ann Arbor, Michigan, United States
Pittsburgh, Pennsylvania, United States
Sterling Heights, Michigan, United States
Windsor, Ontario, Canada
New York, New York, United States
Waterloo, Ontario, Canada
Ann Arbor, Michigan, United States
Dallas, Texas, United States
East Brunswick, New Jersey, United States
Ann Arbor, Michigan, United States
Atlanta, Georgia, United States
Cupertino, California, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Pittsburgh, Pennsylvania, United States
Atlanta, Georgia, United States
Dallas, Texas, United States
Detroit, Michigan, United States
Baltimore, Maryland, United States
Laguna Niguel, California, United States
Charlottesville, Virginia, United States
Ann Arbor, Michigan, United States
Atlanta, Georgia, United States
Cheshire, Connecticut, United States
Blacksburg, Virginia, United States
Atlanta, Georgia, United States
Ashburn, Virginia, United States
Herndon, Virginia, United States
Ann Arbor, Michigan, United States
West Lafayette, Indiana, United States
New York, New York, United States
Pittsburgh, Pennsylvania, United States
Santa Clara, California, United States
Urbana, Illinois, United States
College Park, Maryland, United States
Madison, Wisconsin, United States
Dallas, Texas, United States
Montreal, Quebec, Canada
West Lafayette, IN, US
West Lafayette, Indiana, United States
Chicago, Illinois, United States
Ann Arbor, Michigan, United States
Chicago, Illinois, United States
Kisumu, Kisumu, Kenya
Urbana, Illinois, United States
Ann Arbor, Michigan, United States
College Park, Maryland, United States
East Lansing, Michigan, United States
Atlanta, Georgia, United States
Atlanta, Georgia, United States
Houston, Texas, United States
Ann Arbor, Michigan, United States
Naperville, Illinois, United States
Sunnyvale, California, United States
Dallas, Texas, United States
Champaign, Illinois, United States
Auburn Hills, Michigan, United States
Chicago, Illinois, United States
Chicago, Illinois, United States
Waterloo, Ontario, Canada
Kent, Ohio, United States
Blacksburg, Virginia, United States
Washington, District of Columbia, United States
Ann Arbor, Michigan, United States
College Park, Maryland, United States
Fairfax, Virginia, United States
San Francisco, California, United States
Pittsburgh, Pennsylvania, United States
Ann Arbor, Michigan, United States
West Lafayette, Indiana, United States
Ann Arbor, Michigan, United States
Atlanta, Georgia, United States
Charlottesville, Virginia, United States
Ann Arbor, Michigan, United States
Toronto, Ontario, Canada
Providence, Rhode Island, United States
Urbana, Illinois, United States
New Holstein, WI, US
Shippensburg, Pennsylvania, United States
Ann Arbor, Michigan, United States
Urbana, Illinois, United States
West Lafayette, Indiana, United States
Blacksburg, Virginia, United States
Spring, Texas, United States
Montreal, Quebec, Canada
Rochester, Michigan, United States
State College, Pennsylvania, United States
Irvine, California, United States
Atlanta, Georgia, United States
Ann Arbor, Michigan, United States
Windsor, Ontario, Canada
Buffalo Grove, IL, US
College Park, Maryland, United States
Ann Arbor, Michigan, United States
Palo Alto, California, United States
Seattle, Washington, United States
Pittsburgh, Pennsylvania, United States
Blacksburg, Virginia, United States
Toronto, Ontario, Canada
Champaign, Illinois, United States
Hillsborough Township, New Jersey, United States
Sunnyvale, California, United States
San Francisco, California, United States
Markham, Ontario, Canada
Ann Arbor, Michigan, United States
San Francisco, California, United States
Ann Arbor, Michigan, United States
Bay City, Michigan, United States
Pittsburgh, Pennsylvania, United States
Ann Arbor, Michigan, United States
Toronto, Ontario, Canada
Chapel Hill, NC, US
Ann Arbor, Michigan, United States
Atlanta, Georgia, United States
College Park, Maryland, United States
Dallas, Texas, United States
Orlando, Florida, United States
Troy, Michigan, United States
Baltimore, Maryland, United States
Bellevue, Washington, United States
Ann Arbor, Michigan, United States
Minneapolis, Minnesota, United States
Ann Arbor, Michigan, United States
Danville, Pennsylvania, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
College Park, Maryland, United States
Urbana, Illinois, United States
Wyalusing, Pennsylvania, United States
New York, New York, United States
Pittsburgh, Pennsylvania, United States
Washington, District of Columbia, United States
Cambridge, Massachusetts, United States
Blacksburg, Virginia, United States
Ann Arbor, Michigan, United States
Hamilton, Ontario, Canada
San Jose, California, United States
Ann Arbor, Michigan, United States
Des Moines, Iowa, United States
Ann Arbor, Michigan, United States
San Francisco, California, United States
San Jose, California, United States
Dallas, Texas, United States
Toronto, Ontario, Canada
Naperville, Illinois, United States
Toronto, Ontario, Canada
Tallahassee, Florida, United States
Ann Arbor, Michigan, United States
Sunnyvale, California, United States
Ann Arbor, Michigan, United States
Vienna, Virginia, United States
Atlanta, Georgia, United States
Des Moines, Iowa, United States
Toronto, Ontario, Canada
San Francisco, California, United States
Toronto, Ontario, Canada
Atlanta, Georgia, United States
East Lansing, Michigan, United States
Troy, New York, United States
West Lafayette, Indiana, United States
Chicago, Illinois, United States
Chicago, Illinois, United States
Pittsburgh, Pennsylvania, United States
Ann Arbor, Michigan, United States
College Park, Maryland, United States
Chicago, Illinois, United States
Ann Arbor, Michigan, United States
Markham, Ontario, Canada
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
Atlanta, Georgia, United States
Toronto, Ontario, Canada
Athens, Georgia, United States
Montreal, Quebec, Canada
Fremont, MI, US
Washington, District of Columbia, United States
Austin, Texas, United States
Rochester, New York, United States
Kent, Ohio, United States
Ann Arbor, Michigan, United States
Ann Arbor, Michigan, United States
